Identifier	Length	Deflection from point data	Deflection from polynomial data	Distance to maximum deflection point from point data	Distance to maximum deflection point from polynomial data	Inflection points (vertical coordinates)	Inflection points (horizontal coordinates)	Relative deflection from point data	Relative deflection from polynomial data	Is within the relative deflection tolerante?
Beam_0	3.851	0.069	0.064	2.902	2.801	[(1017.7080162277049-0.016373256217914352j), (1017.7080162277049+0.016373256217914352j)]	[0.41462508+1.70094228j 0.41462508-1.70094228j]	0.018	0.017	False
Beam_1	3.865	0.061	0.057	3.084	2.772	[1017.7272140680996, 1017.7662391943458]	[ 1.68569673 -1.21149293]	0.016	0.015	False
Beam_2	3.818	0.128	0.122	2.381	2.699	[1017.7199775053878]	[-1.18013703]	0.034	0.032	False
Beam_3	3.877	0.075	0.070	3.638	3.524	[(1017.7554608946313-0.04024848802188434j), (1017.7554608946313+0.04024848802188434j)]	[-1.02169669+1.46918434j -1.02169669-1.46918434j]	0.019	0.018	False
Beam_4	3.823	0.072	0.067	2.892	2.510	[1017.7765810705406]	[-1.44726764]	0.019	0.018	False
Beam_5	3.901	0.106	0.105	3.899	3.901	[1017.7085275312197]	[0.10819157]	0.027	0.027	False
Beam_6	3.891	0.094	0.088	3.891	3.537	[1017.7451103800182, 1017.7155921234321]	[-0.88869132  0.15942996]	0.024	0.023	False
Beam_7	3.904	0.124	0.113	3.865	3.706	[1017.7134842682595]	[-0.56228738]	0.032	0.029	False
Beam_8	3.884	0.078	0.074	3.697	3.884	[1017.7084280935188]	[1.46980622]	0.020	0.019	False
Beam_9	3.837	0.074	0.064	2.033	2.287	[1017.7268500824982, 1017.7596579919848]	[ 1.34269697 -1.07840227]	0.019	0.017	False
